timestamp,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R0C6,R0C7,R0C8,R0C9,R0C10,R0C11,R0C12,R0C13,R0C14,R0C15,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R1C8,R1C9,R1C10,R1C11,R1C12,R1C13,R1C14,R1C15,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R2C8,R2C9,R2C10,R2C11,R2C12,R2C13,R2C14,R2C15,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R3C8,R3C9,R3C10,R3C11,R3C12,R3C13,R3C14,R3C15,label_0,label_1,label_2,label_3
1752705434.0803869,2699.0,2351.0,1974.0,593.0,1607.0,2531.0,0.0,441.0,1689.0,1203.0,652.0,0.0,1173.0,0.0,1369.0,0.0,2726.0,2408.0,1926.0,596.0,1567.0,2451.0,0.0,475.0,1773.0,1227.0,651.0,0.0,1067.0,0.0,1251.0,0.0,3383.0,2633.0,1959.0,601.0,1592.0,2449.0,0.0,457.0,1747.0,1321.0,668.0,0.0,1093.0,0.0,1295.0,0.0,2581.0,2157.0,1736.0,529.0,1403.0,2129.0,0.0,383.0,1491.0,1067.0,572.0,0.0,941.0,0.0,1175.0,0.0,,,,
1752705434.4999154,2715.0,2367.0,1981.0,597.0,1612.0,2549.0,0.0,467.0,1695.0,1203.0,657.0,0.0,1171.0,0.0,1369.0,0.0,2735.0,2421.0,1937.0,607.0,1582.0,2457.0,0.0,491.0,1783.0,1235.0,657.0,0.0,1065.0,0.0,1243.0,0.0,3405.0,2643.0,1973.0,607.0,1609.0,2459.0,0.0,475.0,1755.0,1322.0,671.0,0.0,1093.0,0.0,1289.0,0.0,2603.0,2175.0,1747.0,535.0,1418.0,2140.0,0.0,408.0,1499.0,1079.0,569.0,0.0,943.0,0.0,1183.0,0.0,,,,
1752705434.6098528,2719.0,2363.0,1987.0,595.0,1612.0,2557.0,0.0,671.0,1703.0,1205.0,755.0,0.0,1151.0,1.0,1379.0,0.0,2734.0,2415.0,1939.0,613.0,1583.0,2461.0,0.0,721.0,1785.0,1239.0,751.0,0.0,1056.0,0.0,1253.0,0.0,3399.0,2636.0,1975.0,610.0,1611.0,2463.0,0.0,695.0,1757.0,1325.0,765.0,0.0,1079.0,0.0,1299.0,0.0,2599.0,2170.0,1747.0,537.0,1417.0,2149.0,0.0,603.0,1501.0,1079.0,653.0,0.0,935.0,0.0,1183.0,0.0,,,,
1752705434.6494172,2717.0,2359.0,1979.0,594.0,1613.0,2557.0,0.0,431.0,1703.0,1206.0,757.0,0.0,1165.0,1.0,1383.0,0.0,2732.0,2414.0,1933.0,605.0,1583.0,2461.0,0.0,462.0,1775.0,1241.0,761.0,0.0,1065.0,0.0,1254.0,0.0,3407.0,2631.0,1967.0,601.0,1609.0,2469.0,0.0,441.0,1756.0,1325.0,779.0,0.0,1085.0,0.0,1301.0,0.0,2605.0,2169.0,1741.0,535.0,1417.0,2145.0,0.0,379.0,1501.0,1081.0,659.0,0.0,937.0,0.0,1181.0,0.0,,,,
1752705434.678417,2705.0,2348.0,1967.0,583.0,1604.0,2549.0,0.0,417.0,1691.0,1196.0,741.0,0.0,1157.0,0.0,1377.0,0.0,2734.0,2411.0,1919.0,596.0,1573.0,2456.0,0.0,443.0,1775.0,1239.0,731.0,0.0,1051.0,0.0,1253.0,0.0,3403.0,2631.0,1958.0,596.0,1595.0,2454.0,0.0,427.0,1743.0,1323.0,747.0,0.0,1076.0,0.0,1294.0,0.0,2597.0,2164.0,1739.0,523.0,1400.0,2133.0,0.0,367.0,1493.0,1081.0,631.0,0.0,930.0,0.0,1179.0,0.0,,,,
1752705434.699452,2703.0,2351.0,1968.0,589.0,1598.0,2543.0,0.0,415.0,1707.0,1211.0,755.0,0.0,1140.0,0.0,1363.0,0.0,2730.0,2418.0,1926.0,599.0,1572.0,2455.0,0.0,439.0,1785.0,1243.0,757.0,0.0,1041.0,0.0,1236.0,0.0,3399.0,2621.0,1959.0,605.0,1597.0,2461.0,0.0,427.0,1759.0,1333.0,777.0,0.0,1063.0,0.0,1285.0,0.0,2587.0,2158.0,1738.0,531.0,1403.0,2135.0,0.0,367.0,1501.0,1083.0,659.0,0.0,919.0,0.0,1171.0,0.0,,,,
1752705434.7523417,2714.0,2360.0,1973.0,588.0,1603.0,2551.0,0.0,414.0,1690.0,1207.0,759.0,0.0,1149.0,0.0,1373.0,0.0,2731.0,2409.0,1927.0,597.0,1573.0,2457.0,0.0,459.0,1777.0,1241.0,765.0,0.0,1043.0,0.0,1251.0,0.0,3388.0,2631.0,1965.0,601.0,1603.0,2464.0,0.0,431.0,1751.0,1335.0,775.0,0.0,1071.0,0.0,1301.0,0.0,2592.0,2169.0,1739.0,530.0,1415.0,2136.0,0.0,375.0,1501.0,1081.0,667.0,0.0,931.0,0.0,1177.0,0.0,,,,
1752705434.9094033,2723.0,2375.0,1973.0,596.0,1611.0,2568.0,0.0,683.0,1705.0,1209.0,692.0,0.0,1147.0,0.0,1385.0,0.0,2743.0,2427.0,1927.0,607.0,1583.0,2469.0,0.0,726.0,1789.0,1241.0,693.0,0.0,1050.0,0.0,1259.0,0.0,3415.0,2647.0,1963.0,607.0,1608.0,2469.0,0.0,703.0,1759.0,1331.0,711.0,0.0,1071.0,0.0,1303.0,0.0,2601.0,2183.0,1735.0,537.0,1417.0,2148.0,0.0,605.0,1503.0,1083.0,600.0,0.0,928.0,0.0,1189.0,0.0,,,,
1752705435.03845,2713.0,2375.0,1959.0,597.0,1606.0,2551.0,0.0,711.0,1695.0,1194.0,646.0,0.0,1077.0,0.0,1372.0,0.0,2733.0,2426.0,1919.0,603.0,1576.0,2455.0,0.0,759.0,1773.0,1236.0,647.0,0.0,985.0,0.0,1246.0,24.0,3391.0,2659.0,1955.0,603.0,1595.0,2454.0,0.0,733.0,1756.0,1311.0,664.0,0.0,1013.0,0.0,1300.0,0.0,2591.0,2181.0,1721.0,537.0,1411.0,2125.0,0.0,619.0,1493.0,1066.0,563.0,0.0,871.0,0.0,1177.0,0.0,1939.9,1879.3,1865.1,1930.7
1752705435.0618973,2709.0,2367.0,1971.0,589.0,1611.0,2549.0,0.0,723.0,1696.0,1199.0,659.0,0.0,1161.0,0.0,1383.0,0.0,2739.0,2435.0,1913.0,600.0,1568.0,2454.0,0.0,767.0,1781.0,1237.0,645.0,0.0,1063.0,0.0,1245.0,0.0,3400.0,2652.0,1949.0,605.0,1607.0,2457.0,0.0,746.0,1747.0,1320.0,669.0,0.0,1081.0,0.0,1290.0,0.0,2587.0,2186.0,1727.0,533.0,1405.0,2135.0,0.0,645.0,1497.0,1075.0,565.0,0.0,933.0,0.0,1179.0,0.0,,,,
