1752711996.9622722 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 1.0], 'ticks': 24430}
1752711996.9687185 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 0.9998494], 'ticks': 24440}
1752711996.97269 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 0.999247], 'ticks': 24450}
1752711996.9814131 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9997191, 1.0, 1.0, 1.0], 'ticks': 24720}
1752711996.9814992 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9994384, 1.0, 1.0, 1.0], 'ticks': 24732}
1752711997.0148456 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 1.0], 'ticks': 24753}
1752711997.0149484 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9983147, 1.0, 1.0, 0.9945784], 'ticks': 24763}
1752711997.0181665 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9955057, 0.9989325, 0.9980263, 0.9966868], 'ticks': 24773}
1752711997.0385175 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9952249, 0.9989325, 0.997807, 0.9968374], 'ticks': 24793}
1752711997.05882 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 0.9971385], 'ticks': 24803}
1752711997.0589185 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 0.9994661, 0.9960526, 0.9968374], 'ticks': 24813}
1752711997.0853972 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 0.9991103, 0.9956141, 0.9968374], 'ticks': 24833}
1752711997.0854967 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9980338, 0.9975088, 1.0, 0.996235], 'ticks': 24843}
1752711997.108668 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9938204, 1.0, 1.0, 0.9965361], 'ticks': 24853}
1752711997.1187887 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9974719, 1.0, 1.0, 0.9965361], 'ticks': 24873}
1752711997.1358638 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9974719, 1.0, 1.0, 0.9980421], 'ticks': 24883}
1752711997.1365738 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9966293, 1.0, 1.0, 0.9945784], 'ticks': 24893}
1752711997.1622887 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9969102, 1.0, 1.0, 0.9945784], 'ticks': 24913}
1752711997.1623755 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 0.9966868], 'ticks': 24923}
1752711997.1743467 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9991571, 1.0, 1.0, 0.9995481], 'ticks': 24933}
1752711997.2299752 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 1.0], 'ticks': 24953}
1752711997.2301013 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9974719, 1.0, 0.997807, 0.998494], 'ticks': 24963}
1752711997.2301445 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [0.9977527, 0.9996442, 1.0, 1.0], 'ticks': 24973}
1752711997.230175 {'id': 'OM-LASK5', 'time': (2000, 1, 1, 0, 0, 24, 5, 1), 'data': [1.0, 1.0, 1.0, 0.9977409], 'ticks': 24983}
